,Sample Number,Sample Date,Sample Time,Sample Site,Sample class,Residual Free Chlorine (mg/L),Turbidity (NTU),Fluoride (mg/L),Coliform (Quanti-Tray) (MPN /100mL),E.coli(Quanti-Tray) (MPN/100mL)
4118,202131348,10/03/2021,10:35,40200,Operational,0.95,0.72,0,<1,<1
4119,202131349,10/03/2021,08:43,41950,Compliance,0.24,0.58,0,<1,<1
4120,202131350,10/03/2021,09:55,43550,Compliance,0.43,0.54,0,<1,<1
4121,202131351,10/03/2021,11:02,44150,Compliance,0.78,0.64,0,<1,<1
4122,202131352,10/03/2021,09:15,46450,Compliance,0.72,0.69,0,<1,<1
4123,202131353,10/03/2021,06:59,77550,Compliance,0.08,0.48,0,<1,<1
4124,202131354,10/03/2021,08:08,77850,Compliance,0.22,0.49,0,<1,<1
4125,202131355,10/03/2021,07:37,78650,Compliance,0.28,0.55,0,<1,<1
4126,202131356,10/03/2021,11:04,13150,Compliance,0.53,0.12,0,<1,<1
4127,202131357,10/03/2021,08:19,16450,Compliance,0.59,0.47,0,<1,<1
4128,202131358,10/03/2021,07:54,16650,Compliance,0.91,0.58,0,<1,<1
4129,202131359,10/03/2021,09:44,18750,Compliance,0.71,0.44,0,<1,<1
4130,202131360,10/03/2021,10:35,1S03,Operational,0.86,0.62,0.72,<1,<1
4131,202131361,10/03/2021,08:32,1S03A,Operational,0.91,0.64,0.71,<1,<1
4132,202131362,10/03/2021,09:11,1S03B,Operational,0.9,0.61,0.72,<1,<1
4133,202131363,10/03/2021,10:10,1SCH3,Operational,0.69,0.1,0.76,<1,<1
4134,202131364,10/03/2021,10:20,1SCL1,Operational,0.83,0.1,0.76,<1,<1
4135,202131365,10/03/2021,11:42,1S07,Operational,0.85,0.68,0,<1,<1
4136,202131366,10/03/2021,10:42,30750,Compliance,0.29,0.12,0,<1,<1
4137,202131367,10/03/2021,07:57,31350,Compliance,0.26,0.4,0,<1,<1
4138,202131368,10/03/2021,10:03,32050,Compliance,0.29,0.45,0,<1,<1
4139,202131369,10/03/2021,08:39,34350,Compliance,0.8,0.49,0,<1,<1
4140,202131370,10/03/2021,08:39,35450,Compliance,0.37,0.15,0,<1,<1
4141,202131371,10/03/2021,11:12,3SC26,Operational,0.5,0.1,0,<1,<1
4142,202131398,10/04/2021,09:10,22600,Operational,0.67,0.56,0,<1,<1
4143,202131399,10/04/2021,10:51,22850,Compliance,0.54,0.58,0,<1,<1
4144,202131400,10/04/2021,07:44,23450,Compliance,0.5,0.54,0,<1,<1
4145,202131401,10/04/2021,11:33,23950,Compliance,0.34,0.5,0,<1,<1
4146,202131402,10/04/2021,09:43,24250,Compliance,0.79,0.62,0,<1,<1
4147,202131403,10/04/2021,08:16,25400,Operational,0.72,0.68,0,<1,<1
4148,202131404,10/04/2021,11:53,43250,Compliance,0.74,0.61,0,<1,<1
4149,202131405,10/04/2021,09:35,20850,Compliance,0.63,0.59,0,<1,<1
4150,202131406,10/04/2021,08:02,20900,Operational,0.7,0.51,0,<1,<1
4151,202131407,10/04/2021,07:34,22900,Operational,0.69,0.54,0,<1,<1
4152,202131408,10/04/2021,09:15,27000,Operational,0.76,0.76,0,<1,<1
4153,202131409,10/04/2021,08:33,31850,Compliance,0.23,0.4,0,<1,<1
4154,202131410,10/04/2021,10:05,46850,Compliance,0.58,0.64,0,<1,<1
4155,202131419,10/04/2021,08:43,31750,Compliance,0.56,0.59,0,<1,<1
4156,202131420,10/04/2021,11:59,33450,Compliance,0.43,0.1,0,<1,<1
4157,202131421,10/04/2021,11:23,33950,Compliance,0.29,0.11,0,<1,<1
4158,202131422,10/04/2021,10:58,38250,Compliance,0.34,0.45,0,<1,<1
4159,202131423,10/04/2021,10:19,39650,Compliance,0.22,0.63,0,<1,<1
4160,202131424,10/04/2021,10:57,44350,Compliance,0.24,0.45,0,<1,<1
4161,202131429,10/04/2021,07:21,41900,Operational,0.6,0.61,0,<1,<1
4162,202131430,10/04/2021,09:52,45250,Compliance,0.36,0.6,0,<1,<1
4163,202131431,10/04/2021,09:14,45700,Operational,0.64,0.73,0,<1,<1
4164,202131432,10/04/2021,08:21,76550,Compliance,0.07,0.49,0,<1,<1
4165,202131433,10/04/2021,07:48,77650,Compliance,0.59,0.6,0,<1,<1
4166,202131434,10/04/2021,08:48,79450,Compliance,0.48,0.61,0,<1,<1
4167,202131435,10/04/2021,10:16,24350,Compliance,0.75,0.64,0,<1,<1
4168,202131436,10/04/2021,08:58,50200,Operational,0.91,0.7,0,<1,<1
4169,202131437,10/04/2021,09:19,50250,Compliance,0.93,0.63,0,<1,<1
4170,202131438,10/04/2021,09:35,50300,Operational,1.01,0.57,0,<1,<1
4171,202131439,10/04/2021,08:20,52050,Compliance,0.83,0.63,0,<1,<1
4172,202131440,10/04/2021,07:03,58650,Compliance,0.08,0.6,0,<1,<1
4173,202131441,10/04/2021,09:22,17250,Compliance,0.88,0.61,0,<1,<1
4174,202131442,10/04/2021,08:42,18650,Compliance,0.58,0.47,0,<1,<1
4175,202131443,10/04/2021,11:16,1S03,Operational,0.87,0.63,0.71,<1,<1
4176,202131444,10/04/2021,10:07,1S03A,Operational,1.04,0.59,0.72,<1,<1
4177,202131445,10/04/2021,10:44,1S03B,Operational,0.84,0.57,0.72,<1,<1
4178,202131446,10/04/2021,11:37,1SCH3,Operational,0.87,<0.10,0.75,<1,<1
4179,202131447,10/04/2021,11:49,1SCL1,Operational,0.98,0.11,0.76,<1,<1
4180,202131448,10/04/2021,09:53,14200,Operational,1.12,0.64,0,<1,<1
4181,202131449,10/04/2021,12:13,14650,Compliance,0.62,0.48,0,<1,<1
4182,202131450,10/04/2021,10:38,15150,Compliance,0.66,0.48,0,<1,<1
4183,202131451,10/04/2021,09:19,18300,Operational,0.44,0.62,0,<1,<1
4184,202131452,10/04/2021,11:40,1S07,Operational,0.84,0.64,0,<1,<1
4185,202131453,10/04/2021,11:10,3SC26,Operational,0.59,0.1,0,<1,<1
4186,202131454,10/04/2021,08:34,40200,Operational,1.13,0.69,0,<1,<1
4187,202131481,10/05/2021,09:49,20750,Compliance,0.45,0.61,0,<1,<1
4188,202131482,10/05/2021,11:37,21550,Compliance,0.62,0.59,0.69,<1,<1
4189,202131483,10/05/2021,10:01,22950,Compliance,0.45,0.62,0.69,<1,<1
4190,202131484,10/05/2021,09:07,27000,Operational,0.79,0.51,0,<1,<1
4191,202131485,10/05/2021,08:48,27750,Compliance,0.56,0.58,0,<1,<1
4192,202131488,10/05/2021,08:37,20900,Operational,0.64,0.66,0,<1,<1
4193,202131489,10/05/2021,09:27,21750,Compliance,0.28,0.5,0,<1,<1
4194,202131490,10/05/2021,10:05,22250,Compliance,0.85,0.58,0.69,<1,<1
4195,202131491,10/05/2021,10:54,26850,Compliance,0.77,0.65,0.69,<1,<1
4196,202131494,10/05/2021,09:09,11250,Compliance,1.06,0.71,0,<1,<1
4197,202131495,10/05/2021,08:33,17650,Compliance,0.96,0.58,0,<1,<1
4198,202131496,10/05/2021,09:54,1S07,Operational,0.68,0.61,0.69,<1,<1
4199,202131497,10/05/2021,10:50,40200,Operational,1.0,0.7,0,<1,<1
4200,202131514,10/05/2021,08:52,30150,Compliance,0.18,0.16,0.73,<1,<1
4201,202131515,10/05/2021,10:16,31050,Compliance,0.34,0.55,0.71,<1,<1
4202,202131516,10/05/2021,11:09,31950,Compliance,0.45,0.54,0.7,<1,<1
4203,202131517,10/05/2021,12:02,35750,Compliance,0.38,0.5,0.7,<1,<1
4204,202131524,10/05/2021,10:44,46150,Compliance,0.39,0.61,0.7,<1,<1
4205,202131525,10/05/2021,11:16,47550,Compliance,0.44,0.56,0.7,<1,<1
4206,202131526,10/05/2021,09:22,78150,Compliance,0.65,0.53,0.71,<1,<1
4207,202131529,10/05/2021,08:28,40750,Compliance,0.87,0.54,0,<1,<1
4208,202131530,10/05/2021,10:04,44450,Compliance,0.37,0.52,0.7,<1,<1
4209,202131531,10/05/2021,10:42,47850,Compliance,0.27,0.51,0,<1,<1
4210,202131532,10/05/2021,09:18,76150,Compliance,0.57,0.51,0.7,<1,<1
4211,202131535,10/05/2021,10:45,50200,Operational,0.49,0.63,0,<1,<1
4212,202131536,10/05/2021,11:08,50300,Operational,1.0,0.66,0,<1,<1
4213,202131537,10/05/2021,09:07,51450,Compliance,0.71,0.53,0.7,<1,<1
4214,202131538,10/05/2021,10:01,57750,Compliance,0.83,0.6,0.69,<1,<1
4215,202131547,10/05/2021,08:15,10750,Compliance,1.1,0.66,0.7,<1,<1
4216,202131548,10/05/2021,10:24,17350,Compliance,0.37,0.11,0,<1,<1
4217,202131549,10/05/2021,08:54,1S03A,Operational,1.05,0.6,0.7,<1,<1
4218,202131550,10/05/2021,09:37,1S03B,Operational,0.77,0.62,0.7,<1,<1
4219,202131553,10/05/2021,09:21,31650,Compliance,0.21,0.54,0.69,<1,<1
4220,202131554,10/05/2021,08:36,33550,Compliance,0.34,0.62,0.7,<1,<1
4221,202131555,10/05/2021,10:07,37450,Compliance,0.36,0.58,0.69,<1,<1
4222,202131556,10/05/2021,11:10,3SC26,Operational,0.56,0.11,0.73,<1,<1
4223,202131559,10/05/2021,08:44,1S03,Operational,0.85,0.64,0.69,<1,<1
4224,202131560,10/05/2021,11:42,1SCH3,Operational,0.56,0.11,0.73,<1,<1
4225,202131561,10/05/2021,12:17,1SCL1,Operational,0.71,0.11,0.71,<1,<1
4226,202131604,10/04/2021,09:50,32850,Compliance,0.48,0.62,0,<1,<1
4227,202131605,10/04/2021,09:17,32850,Compliance,0.53,0.71,0,<1,<1
4228,202131606,10/04/2021,09:32,32850,Compliance,0.42,0.65,0,<1,<1
4229,202131621,10/06/2021,08:49,38150,Compliance,0.23,0.49,0,<1,<1
4230,202131622,10/06/2021,09:28,39550,Compliance,0.37,0.63,0,<1,<1
4231,202131623,10/06/2021,10:04,40200,Operational,0.92,0.58,0,<1,<1
4232,202131624,10/06/2021,10:30,40600,Operational,0.84,0.63,0,<1,<1
4233,202131625,10/06/2021,11:28,41050,Compliance,0.74,0.62,0,<1,<1
4234,202131626,10/06/2021,10:51,46350,Compliance,0.62,0.57,0,<1,<1
4235,202131643,10/06/2021,10:58,20900,Operational,0.63,0.62,0,<1,<1
4236,202131644,10/06/2021,11:26,20950,Compliance,0.59,0.51,0,<1,<1
4237,202131645,10/06/2021,10:13,27000,Operational,0.81,0.65,0,<1,<1
4238,202131646,10/06/2021,09:42,32350,Compliance,0.1,0.17,0,<1,<1
4239,202131647,10/06/2021,08:55,35550,Compliance,0.27,0.37,0,<1,<1
4240,202131648,10/06/2021,08:22,36100,Operational,0.65,0.54,0,<1,<1
4241,202131649,10/06/2021,09:18,37950,Compliance,0.11,0.44,0,<1,<1
4242,202131654,10/06/2021,09:16,23900,Operational,0.0,0.47,0,<1,<1
4243,202131655,10/06/2021,11:52,41650,Compliance,0.79,0.56,0,<1,<1
4244,202131656,10/06/2021,10:09,42150,Compliance,0.59,0.53,0,<1,<1
4245,202131657,10/06/2021,07:17,42700,Operational,0.46,0.49,0,<1,<1
4246,202131658,10/06/2021,11:09,76450,Compliance,0.7,0.56,0,<1,<1
4247,202131659,10/06/2021,08:00,78550,Compliance,0.39,0.54,0,<1,<1
4248,202131660,10/06/2021,10:52,43150,Compliance,0.69,0.56,0,<1,<1
4249,202131661,10/06/2021,09:43,50200,Operational,0.68,0.61,0,<1,<1
4250,202131662,10/06/2021,10:03,50300,Operational,0.76,0.59,0,<1,<1
4251,202131663,10/06/2021,09:23,50600,Operational,0.67,0.5,0,<1,<1
4252,202131664,10/06/2021,08:34,50750,Compliance,0.02,0.48,0,<1,<1
4253,202131665,10/06/2021,07:56,50850,Compliance,0.27,0.47,0,<1,<1
4254,202131666,10/06/2021,07:30,52150,Compliance,0.83,0.5,0,<1,<1
4255,202131667,10/06/2021,10:42,15450,Compliance,0.96,0.68,0,<1,<1
4256,202131668,10/06/2021,11:16,17450,Compliance,0.75,0.7,0,<1,<1
4257,202131669,10/06/2021,10:06,1S03,Operational,0.75,0.63,0.7,<1,<1
4258,202131670,10/06/2021,08:12,1S03A,Operational,1.0,0.63,0.7,<1,<1
4259,202131671,10/06/2021,08:55,1S03B,Operational,0.72,0.59,0.7,<1,<1
4260,202131672,10/06/2021,09:30,1SCH3,Operational,0.68,<0.10,0.72,<1,<1
4261,202131673,10/06/2021,09:39,1SCL1,Operational,0.97,0.16,0.72,<1,<1
4262,202131674,10/06/2021,09:11,10250,Compliance,0.68,0.5,0,<1,<1
4263,202131675,10/06/2021,12:04,11350,Compliance,0.62,0.4,0,<1,<1
4264,202131676,10/06/2021,11:36,13700,Operational,0.71,0.11,0,<1,<1
4265,202131677,10/06/2021,08:41,14350,Compliance,0.52,0.51,0,<1,<1
4266,202131678,10/06/2021,09:28,1S07,Operational,0.67,0.56,0,<1,<1
4267,202131679,10/06/2021,10:57,33100,Operational,0.53,0.28,0,<1,<1
4268,202131680,10/06/2021,10:18,3SC26,Operational,0.55,0.1,0,<1,<1
4269,202131693,10/06/2021,07:48,22650,Compliance,0.61,0.54,0,<1,<1
4270,202131694,10/06/2021,08:23,23000,Operational,0.52,0.55,0,<1,<1
4271,202131695,10/06/2021,09:48,24450,Compliance,0.65,0.58,0,<1,<1
4272,202131696,10/06/2021,09:24,24550,Compliance,0.6,0.62,0,<1,<1
4273,202131698,10/06/2021,08:52,27450,Compliance,0.66,0.59,0,<1,<1
4274,202131699,10/06/2021,11:00,27650,Compliance,0.64,0.63,0,<1,<1
4275,202131747,10/05/2021,09:38,30150,Compliance,0.2,0.16,0,<1,<1
4276,202131768,10/07/2021,09:26,20900,Operational,0.57,0.54,0,<1,<1
4277,202131769,10/07/2021,10:05,21150,Compliance,0.45,0.52,0,<1,<1
4278,202131770,10/07/2021,11:26,21450,Compliance,0.55,0.61,0,<1,<1
4279,202131771,10/07/2021,10:53,27000,Operational,0.78,0.62,0,<1,<1
4280,202131772,10/07/2021,09:00,30050,Compliance,0.27,0.35,0,<1,<1
4281,202131773,10/07/2021,08:19,32950,Compliance,0.27,0.32,0,<1,<1
4282,202131774,10/07/2021,10:03,3ISL3,Operational,0.27,0.1,0,<1,<1
4283,202131775,10/07/2021,09:38,3ISL4,Operational,0.15,0.16,0,<1,<1
4284,202131776,10/07/2021,10:39,40150,Compliance,0.18,0.5,0,<1,<1
4285,202131777,10/07/2021,09:02,40200,Operational,0.96,0.7,0,<1,<1
4286,202131778,10/07/2021,08:09,43650,Compliance,0.6,0.56,0,<1,<1
4287,202131779,10/07/2021,08:42,4ISL5,Operational,0.65,0.55,0,<1,<1
4288,202131788,10/07/2021,10:34,32150,Compliance,0.5,0.42,0,<1,<1
4289,202131789,10/07/2021,09:45,33700,Operational,0.32,0.15,0,<1,<1
4290,202131790,10/07/2021,10:17,34650,Compliance,0.1,0.41,0,<1,<1
4291,202131791,10/07/2021,07:31,42300,Operational,0.78,0.64,0,<1,<1
4292,202131792,10/07/2021,08:00,44350,Compliance,0.14,0.46,0,<1,<1
4293,202131798,10/07/2021,09:21,44950,Compliance,0.75,0.61,0,<1,<1
4294,202131799,10/07/2021,11:42,45050,Compliance,0.6,0.51,0,<1,<1
4295,202131800,10/07/2021,10:04,45650,Compliance,0.66,0.58,0,<1,<1
4296,202131801,10/07/2021,11:19,76300,Operational,0.29,0.5,0,<1,<1
4297,202131802,10/07/2021,08:39,76750,Compliance,0.44,0.49,0,<1,<1
4298,202131803,10/07/2021,10:34,79050,Compliance,0.61,0.59,0,<1,<1
4299,202131804,10/07/2021,09:24,50200,Operational,0.81,0.53,0,<1,<1
4300,202131805,10/07/2021,09:48,50300,Operational,0.85,0.55,0,<1,<1
4301,202131806,10/07/2021,08:56,51350,Compliance,0.23,0.49,0,<1,<1
4302,202131807,10/07/2021,08:30,52000,Operational,0.57,0.52,0,<1,<1
4303,202131808,10/07/2021,07:15,52450,Compliance,0.67,0.53,0,<1,<1
4304,202131809,10/07/2021,07:42,58150,Compliance,0.74,0.59,0,<1,<1
4305,202131810,10/07/2021,09:52,10850,Compliance,0.35,0.48,0,<1,<1
4306,202131811,10/07/2021,11:38,13050,Compliance,0.72,0.61,0,<1,<1
4307,202131812,10/07/2021,08:44,1S03,Operational,0.75,0.55,0.71,<1,<1
4308,202131813,10/07/2021,11:12,1S03A,Operational,0.98,0.62,0.7,<1,<1
4309,202131814,10/07/2021,10:38,1S03B,Operational,0.65,0.56,0.71,<1,<1
4310,202131815,10/07/2021,09:09,1SCH3,Operational,0.7,0.12,0.76,<1,<1
4311,202131816,10/07/2021,09:17,1SCL1,Operational,0.82,0.11,0.75,<1,<1
4312,202131817,10/07/2021,08:16,13350,Compliance,0.53,0.49,0,<1,<1
4313,202131818,10/07/2021,10:33,17750,Compliance,0.81,0.64,0,<1,<1
4314,202131820,10/07/2021,09:55,1S07,Operational,0.61,0.61,0,<1,<1
4315,202131821,10/07/2021,08:46,35350,Compliance,0.22,0.13,0,<1,<1
4316,202131822,10/07/2021,09:35,38300,Operational,0.46,0.43,0,<1,<1
4317,202131823,10/07/2021,09:14,3SC26,Operational,0.53,0.14,0,<1,<1
4318,202131825,10/07/2021,10:50,20050,Compliance,0.49,0.54,0,<1,<1
4319,202131826,10/07/2021,10:21,23550,Compliance,0.6,0.55,0,<1,<1
4320,202131827,10/07/2021,09:20,24300,Operational,0.59,0.66,0,<1,<1
4321,202131828,10/07/2021,07:27,29350,Compliance,0.14,0.49,0,<1,<1
4322,202131829,10/07/2021,08:32,29500,Operational,0.75,0.67,0,<1,<1
4323,202131830,10/07/2021,11:29,29850,Compliance,0.46,0.53,0,<1,<1
4324,202131880,10/07/2021,07:53,29350,Compliance,0.37,0.6,0,<1,<1
4325,202131884,10/07/2021,08:19,44350,Compliance,0.7,0.62,0,<1,<1
4326,202131900,10/08/2021,11:11,20900,Operational,0.44,0.57,0,<1,<1
4327,202131901,10/08/2021,11:43,27000,Operational,0.85,0.6,0,<1,<1
4328,202131902,10/08/2021,12:16,27850,Compliance,0.78,0.6,0,<1,<1
4329,202131903,10/08/2021,10:41,30250,Compliance,0.21,0.52,0,<1,<1
4330,202131904,10/08/2021,10:07,32650,Compliance,0.21,0.61,0,<1,<1
4331,202131905,10/08/2021,09:19,34850,Compliance,0.37,0.58,0,<1,<1
4332,202131914,10/08/2021,08:40,33300,Operational,0.35,0.17,0,<1,<1
4333,202131915,10/08/2021,08:14,36350,Compliance,0.28,0.49,0,<1,<1
4334,202131916,10/08/2021,09:32,40200,Operational,0.7,0.52,0,<1,<1
4335,202131917,10/08/2021,09:55,40650,Compliance,0.79,0.58,0,<1,<1
4336,202131918,10/08/2021,10:36,44250,Compliance,0.53,0.55,0,<1,<1
4337,202131923,10/08/2021,10:59,41450,Compliance,0.18,0.64,0,<1,<1
4338,202131924,10/08/2021,08:28,42750,Compliance,0.25,0.5,0,<1,<1
4339,202131925,10/08/2021,11:30,46950,Compliance,0.68,0.59,0,<1,<1
4340,202131926,10/08/2021,10:17,48600,Operational,0.61,0.62,0,<1,<1
4341,202131927,10/08/2021,08:53,78350,Compliance,0.17,0.5,0,<1,<1
4342,202131928,10/08/2021,09:51,79150,Compliance,0.29,0.63,0,<1,<1
4343,202131929,10/08/2021,11:59,23850,Compliance,0.76,0.57,0,<1,<1
4344,202131930,10/08/2021,09:10,50200,Operational,0.76,0.6,0,<1,<1
4345,202131931,10/08/2021,09:59,50300,Operational,0.93,0.64,0,<1,<1
4346,202131932,10/08/2021,08:48,51850,Compliance,0.4,0.52,0,<1,<1
4347,202131933,10/08/2021,10:39,55450,Compliance,0.16,0.49,0,<1,<1
4348,202131934,10/08/2021,11:14,57200,Operational,0.87,0.69,0,<1,<1
4349,202131935,10/08/2021,09:38,58950,Compliance,0.63,0.59,0,<1,<1
4350,202131936,10/08/2021,08:35,10150,Compliance,0.48,0.35,0,<1,<1
4351,202131937,10/08/2021,09:18,11750,Compliance,0.09,0.12,0,<1,<1
4352,202131938,10/08/2021,10:14,12150,Compliance,0.86,0.61,0,<1,<1
4353,202131939,10/08/2021,12:35,14000,Operational,0.9,0.64,0,<1,<1
4354,202131940,10/08/2021,11:45,16250,Compliance,0.83,0.62,0,<1,<1
4355,202131941,10/08/2021,10:33,1S03A,Operational,0.94,0.6,0.7,<1,<1
4356,202131942,10/08/2021,11:14,1S03B,Operational,0.64,0.57,0.7,<1,<1
4357,202131943,10/08/2021,12:42,15050,Compliance,0.75,0.57,0,<1,<1
4358,202131944,10/08/2021,11:43,18500,Operational,0.73,0.62,0,1,<1
4359,202131945,10/08/2021,10:07,1S03,Operational,0.73,0.62,0.71,<1,<1
4360,202131946,10/08/2021,11:30,1S07,Operational,0.68,0.59,0,<1,<1
4361,202131947,10/08/2021,09:29,1SCH3,Operational,0.68,0.13,0.76,<1,<1
4362,202131948,10/08/2021,09:31,1SCL1,Operational,0.82,0.12,0.76,<1,<1
4363,202131949,10/08/2021,12:09,35150,Compliance,0.74,0.56,0,<1,<1
4364,202131950,10/08/2021,10:58,3SC26,Operational,0.75,0.13,0,<1,<1
4365,202131952,10/08/2021,08:38,21900,Operational,0.54,0.6,0,<1,<1
4366,202131953,10/08/2021,11:21,25150,Compliance,0.56,0.56,0,<1,<1
4367,202131954,10/08/2021,08:57,26750,Compliance,0.47,0.63,0,<1,<1
4368,202131955,10/08/2021,10:55,27550,Compliance,0.55,0.56,0,<1,<1
4369,202131956,10/08/2021,07:55,27600,Operational,0.67,0.63,0,<1,<1
4370,202131957,10/08/2021,10:14,29050,Compliance,0.61,0.63,0,<1,<1
4371,202131958,10/08/2021,09:40,29450,Compliance,0.4,0.51,0,<1,<1
4372,202132007,10/08/2021,09:09,78350,Compliance,0.2,0.5,0,<1,<1
4373,202132015,10/09/2021,10:40,21750,Compliance,0.21,0.43,0,<1,<1
4374,202132016,10/09/2021,10:00,22250,Compliance,0.79,0.57,0,<1,<1
4375,202132017,10/09/2021,11:25,26850,Compliance,0.56,0.62,0,<1,<1
4376,202132018,10/09/2021,07:30,50200,Operational,0.6,0.61,0,<1,<1
4377,202132019,10/09/2021,07:08,50300,Operational,0.93,0.55,0,<1,<1
4378,202132020,10/09/2021,09:02,51450,Compliance,0.6,0.47,0,<1,<1
4379,202132021,10/09/2021,08:15,57750,Compliance,0.68,0.48,0,<1,<1
4380,202132034,10/09/2021,09:13,21550,Compliance,0.54,0.59,0,<1,<1
4381,202132035,10/09/2021,07:40,44450,Compliance,0.2,0.45,0,<1,<1
4382,202132036,10/09/2021,10:32,46150,Compliance,0.35,0.55,0,<1,<1
4383,202132037,10/09/2021,09:57,47550,Compliance,0.36,0.48,0,<1,<1
4384,202132038,10/09/2021,07:15,47850,Compliance,0.4,0.45,0,<1,<1
4385,202132039,10/09/2021,08:06,76150,Compliance,0.54,0.49,0,<1,<1
4386,202132040,10/09/2021,08:35,78150,Compliance,0.58,0.52,0,<1,<1
4387,202132041,10/09/2021,11:51,10750,Compliance,0.97,0.65,0,<1,<1
4388,202132042,10/09/2021,08:07,11250,Compliance,0.9,0.59,0,<1,<1
4389,202132043,10/09/2021,10:03,17350,Compliance,0.39,<0.10,0,<1,<1
4390,202132044,10/09/2021,07:28,17650,Compliance,0.67,0.39,0,<1,<1
4391,202132045,10/09/2021,08:56,1S03,Operational,0.68,0.55,0.69,<1,<1
4392,202132046,10/09/2021,11:21,1S03A,Operational,0.91,0.58,0.7,<1,<1
4393,202132047,10/09/2021,10:48,1S03B,Operational,0.63,0.55,0.7,<1,<1
4394,202132048,10/09/2021,09:21,1SCH3,Operational,0.71,<0.10,0.75,<1,<1
4395,202132049,10/09/2021,09:30,1SCL1,Operational,0.8,0.1,0.75,<1,<1
4396,202132050,10/09/2021,10:26,1S07,Operational,0.58,0.65,0,<1,<1
4397,202132051,10/09/2021,07:29,30150,Compliance,0.41,0.31,0,<1,<1
4398,202132052,10/09/2021,07:54,31050,Compliance,0.3,0.44,0,<1,<1
4399,202132053,10/09/2021,09:03,31650,Compliance,0.16,0.46,0,<1,<1
4400,202132054,10/09/2021,08:19,31950,Compliance,0.31,0.5,0,<1,<1
4401,202132055,10/09/2021,08:43,33550,Compliance,0.2,0.47,0,<1,<1
4402,202132056,10/09/2021,09:41,37450,Compliance,0.25,0.52,0,<1,<1
4403,202132057,10/09/2021,10:07,3SC26,Operational,0.6,0.1,0,<1,<1
4404,202132059,10/09/2021,07:10,20750,Compliance,0.41,0.48,0,<1,<1
4405,202132060,10/09/2021,07:33,20900,Operational,0.44,0.49,0,<1,<1
4406,202132061,10/09/2021,07:22,22950,Compliance,0.46,0.52,0,<1,<1
4407,202132062,10/09/2021,08:20,27000,Operational,0.75,0.57,0,<1,<1
4408,202132063,10/09/2021,08:07,27750,Compliance,0.54,0.55,0,<1,<1
4409,202132064,10/09/2021,09:08,40200,Operational,0.72,0.65,0,<1,<1
4410,202132065,10/09/2021,08:49,40750,Compliance,0.74,0.6,0,<1,<1
4411,202132117,10/10/2021,10:33,23650,Compliance,0.07,0.51,0,<1,<1
4412,202132118,10/10/2021,07:06,29550,Compliance,0.92,0.53,0,<1,<1
4413,202132119,10/10/2021,08:36,50200,Operational,0.8,0.59,0,<1,<1
4414,202132120,10/10/2021,08:02,50250,Compliance,0.79,0.55,0,<1,<1
4415,202132121,10/10/2021,07:36,50300,Operational,0.82,0.62,0,<1,<1
4416,202132122,10/10/2021,08:59,50650,Compliance,0.69,0.57,0,<1,<1
4417,202132123,10/10/2021,09:41,51150,Compliance,0.56,0.53,0,<1,<1
4418,202132136,10/10/2021,12:18,40200,Operational,0.97,0.6,0,<1,<1
4419,202132137,10/10/2021,07:26,41150,Compliance,0.58,0.41,0,<1,<1
4420,202132138,10/10/2021,11:04,41850,Compliance,0.04,0.46,0,<1,<1
4421,202132139,10/10/2021,11:45,43750,Compliance,0.57,0.43,0,<1,<1
4422,202132140,10/10/2021,08:00,44750,Compliance,0.33,0.45,0,<1,<1
4423,202132141,10/10/2021,08:43,76650,Compliance,0.11,0.41,0,<1,<1
4424,202132142,10/10/2021,10:12,78050,Compliance,0.11,0.48,0,<1,<1
4425,202132143,10/10/2021,09:33,78850,Compliance,0.31,0.47,0,<1,<1
4426,202132144,10/10/2021,09:21,11550,Compliance,1.06,0.53,0,<1,<1
4427,202132145,10/10/2021,06:58,13850,Compliance,0.53,0.42,0,<1,<1
4428,202132146,10/10/2021,07:22,15550,Compliance,0.63,0.1,0,<1,<1
4429,202132147,10/10/2021,07:42,1S03,Operational,0.64,0.54,0.69,<1,<1
4430,202132148,10/10/2021,08:56,1S03A,Operational,0.94,0.61,0.69,<1,<1
4431,202132149,10/10/2021,08:33,1S03B,Operational,0.62,0.53,0.69,<1,<1
4432,202132150,10/10/2021,07:57,1SCH3,Operational,0.81,0.12,0.75,<1,<1
4433,202132151,10/10/2021,08:03,1SCL1,Operational,0.89,0.12,0.75,<1,<1
4434,202132152,10/10/2021,10:22,17550,Compliance,0.22,0.1,0,<1,<1
4435,202132153,10/10/2021,10:48,18500,Operational,0.55,0.41,0,<1,<1
4436,202132154,10/10/2021,11:14,1S07,Operational,0.57,0.58,0,<1,<1
4437,202132155,10/10/2021,07:27,30950,Compliance,0.2,0.47,0,<1,<1
4438,202132156,10/10/2021,07:56,32550,Compliance,0.14,0.13,0,<1,<1
4439,202132157,10/10/2021,09:47,34550,Compliance,0.41,0.12,0,<1,<1
4440,202132158,10/10/2021,09:12,35750,Compliance,0.24,0.43,0,<1,<1
4441,202132159,10/10/2021,08:42,39750,Compliance,0.21,0.46,0,<1,<1
4442,202132160,10/10/2021,11:46,3SC26,Operational,0.55,0.11,0,<1,<1
4443,202132162,10/10/2021,08:00,20900,Operational,0.46,0.52,0,<1,<1
4444,202132163,10/10/2021,08:28,21850,Compliance,0.49,0.57,0,<1,<1
